,name,model,price,color,fuel_type,origin_car,car_license,lime_type,glass,motor_power,car_speedometer,passengers,ex_owners,alarm_devise,air_conditioner,CD_recorder,sunroof,leather_upholstery,central_closing,magnesium_rims,air_cushion
0,كيا برايد,2008,,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,١٨٣٠٠٠ ,,يد اولى ,1,1,1,,1,1,,1
1,هونداي اكسنت,2013,,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,42000 ,4+1 ,يد اولى ,1,1,,,1,1,1,1
2,بيجو 508,2013,,أسود ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000 ,85000 ,4+1 ,يد ثانيه ,1,1,1,1,1,1,1,1
3,سكودا اوكتافيا,2010,,أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,30000 ,4+1 ,3 ,1,1,1,,1,1,1,1
4,سوبارو امبريزا,1999,,رصاصي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,,1,1,1,,,1,1,1
5,سيت ليون,2017,,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,105 ,4+1 ,ثالثه ,1,1,1,,1,1,1,1
6,مرسيدس 220,1999,,خمري ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,,,,1,1,1,,1,1,1,1
7,اودي 80,1985,,برتقالي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,,4+1 ,,,,1,,,1,1,
8,هونداي كوبيه,1999,,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,,4+1 ,,1,1,1,1,1,1,1,1
9,فولكسفاجن كبينة,1979,,أصفر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,50000 ,5+1 ,٣ ,,,,,1,,1,
10,فولكسفاجن جولف,2010,,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,180000 ,4+1 ,,,1,1,,,1,1,1
11,Dodge رام,2015,,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,6700 ,120000 ,4+1 ,يد اولى ,1,1,1,,1,1,1,1
12,سيت قرطبة,2001,,أزرق ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,0000014 ,4+١ ,٤ ,1,1,1,,1,1,,1
13,هونداي جيتس,2007,,ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,220000 ,4+1 ,6 ,,1,,,,,,
14,سكودا اوكتافيا,2005,,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,,4+1 ,,,1,1,,,1,1,1
15,بيجو 208,2016,,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,100 الف ,4+1 ,يد ثانية ,1,1,1,,,1,1,1
16,سكودا رابيد,2017,,سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,١٤٠٠٠ ,4+1 ,٢ ,1,1,1,,,1,1,1
17,سكودا فيليسيا,2000,,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,,2 ,3 ,,1,1,,,,,1
18,فولكسفاجن تيجوان,2017,,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,48000 ,4+1 ,اولى  ,1,1,1,1,1,1,1,1
19,بيجو 207,2008,,خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,120 ,4+1 ,٤ ,1,1,1,1,1,1,1,1
20,هونداي توسان,2012,,رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,,,1,1,1,,1,1,1,1
21,هونداي توسان,2013,,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,69000 ,4+1 ,اولى ,1,1,1,,1,1,1,1
22,مرسيدس C250,2015,,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500 ,30000 ,,0 ,1,1,1,1,1,1,1,1
